Cell,Drug,IC50,IC50_Predict
687821,Linifanib,2.726196756,2.47937078
1299050,SGC0946,1.67354887,1.892904021
910568,(5Z)-7-Oxozeaenol,-1.789455454,-0.935391829
906795,Midostaurin,-0.376673959,-1.239623217
908462,WZ3105,3.171846614,2.996645126
909904,Pazopanib,4.03620707,4.617958537
1298351,XMD13-2,4.408855387,2.854361759
1659818,Gefitinib,0.911831863,0.9701836
753620,Cabozantinib,2.737929717,2.157477927
1323913,Obatoclax Mesylate,-2.968521602,-3.151335821
924247,Luminespib,-4.638716189,-3.863165145
908444,Vorinostat,3.512213016,2.204716329
908469,Ruxolitinib,4.689649347,4.092853702
949153,Y-39983,4.357396412,3.041155211
1240169,ZSTK474,2.208056286,2.662935058
1287381,OSI-930,5.122868629,4.763630744
1240183,Luminespib,-2.886009522,-2.096694203
907789,Y-39983,2.463156376,2.653087379
684055,Linsitinib,-0.185745906,-0.575127663
1322224,SNX-2112,2.905857335,0.712180054
905950,Pelitinib,0.41708915,-0.064794715
1240197,AS605240,-0.012961999,1.876492
906869,Entinostat,1.359010826,0.479265245
905967,Veliparib,4.762821608,4.335107594
1331035,Lenalidomide,2.849266954,3.109481991
1327769,WZ-1-84,3.616747273,3.87878569
905970,JQ1,1.945412613,1.993579163
1330941,AZD7762,1.432324329,0.928936096
753581,Lestauritinib,1.04435856,1.286472929
924104,Obatoclax Mesylate,-2.822231736,-2.543452264
907278,SB52334,2.96930842,3.628893645
908158,UNC0638,0.453599746,0.941897007
753623,NPK76-II-72-1,3.112275401,3.52574553
1298537,XMD8-92,1.630425664,3.399041098
1659817,AZD7762,-1.682363478,-0.331971783
909773,WH-4-023,3.325121848,3.760684038
906870,Cabozantinib,-2.306772419,-3.799510793
684059,AR-42,-2.253302885,-2.453866999
1330982,KIN001-270,3.420756594,2.967118546
910697,Tubastatin A,5.867904885,5.908075261
749710,BMS-754807,0.926383535,0.271787367
753595,Veliparib,4.64219552,4.295730632
688007,Lestauritinib,0.195631817,0.768701778
1240221,PFI-1,1.596606046,2.37484512
907792,WH-4-023,1.185935223,2.226624406
908451,UNC1215,2.631494211,2.106350565
905963,FTI-277,1.838530044,1.903739662
713885,Lapatinib,3.202799622,3.168878064
949155,Cyclopamine,4.06679039,4.170962575
908125,PF-4708671,2.945144883,4.072820589
687820,ZM447439,3.805387196,3.04336965
909713,VX-702,3.873665094,3.160895769
1479988,Zibotentan,5.313820018,5.122672118
909260,GSK650394,2.12651141,2.01262591
946356,OSI-930,3.490407616,4.307331439
909715,Y-39983,0.930781092,0.746144107
1240173,Navitoclax,-1.517024898,1.636599316
688021,Avagacestat,5.413888553,5.193098868
949168,GSK269962A,2.048748151,2.868109453
1240185,JQ1,-0.862911412,0.234174588
909757,Pazopanib,5.210791529,5.432881874
909745,QL-XII-47,3.15307486,3.600362641
1298359,KIN001-270,5.939512424,5.563203836
910935,Cyclopamine,3.082980459,3.309978186
910781,XMD14-99,4.708650774,4.938899046
909700,XMD14-99,4.340423965,4.58555503
1240168,Midostaurin,-1.425453026,-1.229998946
906836,AZD7762,-2.282308587,-1.274058529
909725,Ruxolitinib,4.036435515,4.641599845
907176,VX-702,3.048195479,2.494259223
1298223,MPS-1-IN-1,5.619578299,4.696891776
949153,Erlotinib,2.311239527,1.933274716
1524419,PD173074,3.838205834,2.186221286
909716,Pazopanib,2.647829224,3.50999956
1331039,CI-1040,2.255658725,2.693431913
910952,JNK Inhibitor VIII,4.257332789,4.425577282
910916,PAC-1,3.059202576,2.352597569
907170,XMD8-85,1.84399429,2.51372147
909746,SB-505124,5.833132187,5.774969224
1240209,KU-55933,5.125709447,4.392488932
906835,UNC1215,2.391229506,2.696123874
909757,UNC0638,4.404227543,4.88076949
908458,GSK1904529A,3.167980252,2.774093962
753592,Dasatinib,-3.249227132,-3.114148611
949153,Axitinib,1.758504447,0.739383009
753575,OSI-930,5.7397868,5.209720296
907043,S-Trityl-L-cysteine,-0.674652844,-0.207878743
753549,Parthenolide,3.057460993,3.118031713
753576,QL-XI-92,4.659389043,4.732008615
910916,PD173074,2.969557744,2.4695344
1240162,HG6-64-1,1.121473332,1.658263965
