Cell,Drug,IC50,IC50_Predict_model=2,IC50_Predict_model=-1
687821,Linifanib,2.726196756,2.47937078,2.577315518
1299050,SGC0946,1.67354887,1.892904021,1.301267906
910568,(5Z)-7-Oxozeaenol,-1.789455454,-0.935391829,-0.68757433
906795,Midostaurin,-0.376673959,-1.239623217,-0.648567302
908462,WZ3105,3.171846614,2.996645126,2.902915313
909904,Pazopanib,4.03620707,4.617958537,4.410770145
1298351,XMD13-2,4.408855387,2.854361759,2.017434791
1659818,Gefitinib,0.911831863,0.9701836,0.78972715
753620,Cabozantinib,2.737929717,2.157477927,1.76949828
1323913,Obatoclax Mesylate,-2.968521602,-3.151335821,-1.645967841
924247,Luminespib,-4.638716189,-3.863165145,-3.681607372
908444,Vorinostat,3.512213016,2.204716329,1.311103304
908469,Ruxolitinib,4.689649347,4.092853702,4.173844661
949153,Y-39983,4.357396412,3.041155211,2.179638768
1240169,ZSTK474,2.208056286,2.662935058,2.131819184
1287381,OSI-930,5.122868629,4.763630744,4.871719156
1240183,Luminespib,-2.886009522,-2.096694203,-2.832055956
907789,Y-39983,2.463156376,2.653087379,2.652580871
684055,Linsitinib,-0.185745906,-0.575127663,0.091366781
1322224,SNX-2112,2.905857335,0.712180054,-1.043314067
905950,Pelitinib,0.41708915,-0.064794715,-0.149016936
1240197,AS605240,-0.012961999,1.876492,3.833679684
906869,Entinostat,1.359010826,0.479265245,0.597021528
905967,Veliparib,4.762821608,4.335107594,4.291302493
1331035,Lenalidomide,2.849266954,3.109481991,2.84070446
1327769,WZ-1-84,3.616747273,3.87878569,3.505804532
905970,JQ1,1.945412613,1.993579163,2.297394805
1330941,AZD7762,1.432324329,0.928936096,1.295943675
753581,Lestauritinib,1.04435856,1.286472929,0.737209469
924104,Obatoclax Mesylate,-2.822231736,-2.543452264,-2.054349674
907278,SB52334,2.96930842,3.628893645,4.121746778
908158,UNC0638,0.453599746,0.941897007,1.163990054
753623,NPK76-II-72-1,3.112275401,3.52574553,1.223791063
1298537,XMD8-92,1.630425664,3.399041098,3.68358597
1659817,AZD7762,-1.682363478,-0.331971783,-0.633199002
909773,WH-4-023,3.325121848,3.760684038,3.737159654
906870,Cabozantinib,-2.306772419,-3.799510793,-0.817798527
684059,AR-42,-2.253302885,-2.453866999,-2.03553395
1330982,KIN001-270,3.420756594,2.967118546,3.155948103
910697,Tubastatin A,5.867904885,5.908075261,5.006004016
749710,BMS-754807,0.926383535,0.271787367,0.391149886
753595,Veliparib,4.64219552,4.295730632,4.01670503
688007,Lestauritinib,0.195631817,0.768701778,-0.086917235
1240221,PFI-1,1.596606046,2.37484512,3.206892464
907792,WH-4-023,1.185935223,2.226624406,2.088268934
908451,UNC1215,2.631494211,2.106350565,1.951787936
905963,FTI-277,1.838530044,1.903739662,2.125065577
713885,Lapatinib,3.202799622,3.168878064,2.886236651
949155,Cyclopamine,4.06679039,4.170962575,4.232183502
908125,PF-4708671,2.945144883,4.072820589,3.635055998
687820,ZM447439,3.805387196,3.04336965,2.364943646
909713,VX-702,3.873665094,3.160895769,3.173331504
1479988,Zibotentan,5.313820018,5.122672118,4.977421919
909260,GSK650394,2.12651141,2.01262591,3.009854625
946356,OSI-930,3.490407616,4.307331439,3.932374113
909715,Y-39983,0.930781092,0.746144107,1.20695642
1240173,Navitoclax,-1.517024898,1.636599316,2.229569867
688021,Avagacestat,5.413888553,5.193098868,5.111750503
949168,GSK269962A,2.048748151,2.868109453,2.515691743
1240185,JQ1,-0.862911412,0.234174588,-0.201838964
909757,Pazopanib,5.210791529,5.432881874,5.308464835
909745,QL-XII-47,3.15307486,3.600362641,3.352052758
1298359,KIN001-270,5.939512424,5.563203836,5.155122296
910935,Cyclopamine,3.082980459,3.309978186,3.453825293
910781,XMD14-99,4.708650774,4.938899046,4.459210705
909700,XMD14-99,4.340423965,4.58555503,4.074177992
1240168,Midostaurin,-1.425453026,-1.229998946,-0.919086293
906836,AZD7762,-2.282308587,-1.274058529,-1.10041292
909725,Ruxolitinib,4.036435515,4.641599845,4.377966983
907176,VX-702,3.048195479,2.494259223,2.818600854
1298223,MPS-1-IN-1,5.619578299,4.696891776,4.948088903
949153,Erlotinib,2.311239527,1.933274716,2.256415294
1524419,PD173074,3.838205834,2.186221286,2.362265686
909716,Pazopanib,2.647829224,3.50999956,2.902971319
1331039,CI-1040,2.255658725,2.693431913,3.044888192
910952,JNK Inhibitor VIII,4.257332789,4.425577282,4.628309777
