BGME,Precily
3.322041801,5.164484709
3.720586282,5.208794899
3.387245773,5.26812646
3.486035854,5.597819477
3.720621855,5.179568613
3.532028575,5.181613093
3.788380618,5.160092768
3.357687243,5.156436573
3.413443804,5.041801113
3.539879943,5.214524743
3.225761329,5.313686201
3.536215806,5.240843057
3.180133478,5.053876098
4.527693939,5.734328417
3.409604997,5.126529366
3.418480113,5.237754845
3.657966883,5.082785691
3.331689048,5.132455278
3.037773365,5.370525707
3.56267827,5.01050523
3.551591928,5.179659096
3.418840699,5.175382884
3.337640069,5.171601135
3.7222637,5.293705328
3.340365215,5.195321206
