BGME,GME,BME
3.322041801,3.568175909,5.486192759
3.720586282,4.19440382,3.946037678
3.387245773,3.455239415,4.797724537
3.486035854,3.588669189,4.951819777
3.720621855,3.687001903,5.337224351
3.532028575,3.832998006,5.126902323
3.788380618,4.372815101,4.057294911
3.357687243,3.598846553,5.085903071
3.413443804,4.088661259,5.821287246
3.539879943,3.695942331,5.614717552
3.225761329,3.386819269,5.07979563
3.536215806,3.791520049,6.338138797
3.180133478,3.469715525,5.971826586
4.527693939,5.163614148,4.966883406
3.409604997,3.409261739,3.674681709
3.418480113,3.628402778,4.778451058
3.657966883,3.904386964,4.789116795
3.331689048,4.169273244,6.666752803
3.037773365,3.134217073,6.288971986
3.56267827,4.222011065,4.852989031
3.551591928,3.889967012,4.692865457
3.418840699,3.789674885,4.74273342
3.337640069,3.878000372,4.445347918
3.7222637,3.799208402,4.364795873
3.340365215,3.505759869,5.863318729
