Cell,Drug,IC50,IC50_Predict_model=2,IC50_Predict_model=1,IC50_Predict_model=0
909708,AZD6482,4.354959673,2.227704531,2.11998443,1.268019474
1298362,AZD6482,2.858670027,2.235934233,2.126719024,1.6769608
1298222,AZD6482,2.304364093,2.430685957,2.311735719,1.534930982
909758,AZD6482,3.078700184,2.707611392,2.562634935,1.836451027
1290768,AZD6482,1.182117382,2.320415923,2.191587596,1.683365599
909779,AZD6482,3.54572067,2.741142384,2.482819457,2.355370616
906803,AZD6482,1.374134232,2.306460713,2.167219294,1.379330993
753562,AZD6482,0.628060139,2.424756715,2.299922188,1.294213711
909716,AZD6482,2.733933173,1.650590464,1.616257386,1.270011977
753556,AZD6482,2.637603257,2.339106912,2.210294453,1.548900857
907055,AZD6482,0.30271826,1.704854517,1.629824314,1.408315373
688011,AZD6482,4.173536635,2.902601631,2.672359894,2.011867524
911905,AZD6482,1.580042591,2.313753252,2.244920603,1.748584427
907172,AZD6482,0.044872552,1.930116065,1.846916858,1.649055562
907072,AZD6482,0.553523964,2.097007134,2.00708699,1.88028531
909252,AZD6482,0.048208329,0.821794795,0.678629165,0.640433999
753573,AZD6482,4.402564568,2.746585014,2.547595276,1.720784839
688121,AZD6482,1.465314923,2.105122516,2.009225722,1.404529335
910688,AZD6482,1.166805459,2.186849312,1.925770583,0.926554328
688026,AZD6482,0.916667278,2.219349798,2.05188526,1.661918955
910691,AZD6482,0.577280357,1.951213975,1.863720403,1.82483757
924102,AZD6482,2.63747307,2.697185626,2.55387755,1.605288339
753623,AZD6482,3.411890245,2.660916788,2.530479523,1.731139764
909735,AZD6482,2.666432716,2.048823022,2.013903333,1.451460687
907060,AZD6482,2.033592212,2.045501389,1.950258954,1.364587182
753564,AZD6482,2.984542977,2.670697948,2.439893549,1.922884174
907269,AZD6482,2.226393254,1.782754523,1.527360796,0.935012819
1298355,AZD6482,1.59867801,2.403617833,2.219590476,1.683836268
905954,AZD6482,2.330522207,2.419344004,2.272526087,1.420628755
908463,AZD6482,4.249607442,3.109886265,3.044589691,2.129834296
907320,AZD6482,2.142560253,2.498386897,2.314044335,1.599329695
910569,AZD6482,3.074665564,1.449780047,1.437873788,1.201868321
908443,AZD6482,0.986804668,2.040688824,2.037093107,1.586211279
949163,AZD6482,1.816856064,1.611660394,1.404213639,1.041008802
907322,AZD6482,3.066091525,1.476557997,1.420664766,1.107458038
907071,AZD6482,1.64011858,2.950698542,2.673850482,1.880820902
905986,AZD6482,1.598752932,2.692603126,2.551779839,1.773522588
906999,AZD6482,2.524588316,1.762683361,1.722491959,1.128001663
1240159,AZD6482,2.215699361,2.012298866,1.949183177,1.492460808
1240198,AZD6482,2.801315702,2.320592685,2.223594101,1.70443978
910944,AZD6482,2.42026161,0.66916994,0.449680448,0.261697316
1240199,AZD6482,3.512002999,3.162874246,2.996326483,2.059668414
905975,AZD6482,3.429292556,2.099795681,1.958611746,1.442493796
910937,AZD6482,2.534467912,2.714762591,2.502722823,1.915966112
1290810,AZD6482,4.450191572,2.463793319,2.328890921,1.826246434
907317,AZD6482,2.215414404,2.034059511,1.930130214,1.277607512
1330982,AZD6482,-0.408719456,1.260203575,1.040685246,0.540725719
910910,AZD6482,3.521894897,2.945878853,2.757847625,2.030563081
1240131,AZD6482,3.096599938,2.689557641,2.585850844,2.099940092
1240189,AZD6482,2.889470732,1.504327298,1.494123073,1.434354686
906847,AZD6482,2.427636932,1.162183795,0.971288289,0.849476157
906875,AZD6482,3.752076091,1.833345655,1.689441462,1.203556944
910706,AZD6482,1.894284025,1.322535234,1.122839332,0.853170105
910851,AZD6482,-0.057240317,2.604100321,2.541764094,1.815570803
949161,AZD6482,2.874615699,1.762986259,1.547945099,1.193050558
753554,AZD6482,1.737992338,2.254193535,2.149601111,1.592213008
909706,AZD6482,1.719932931,2.36365512,2.198725039,1.382550219
753546,AZD6482,3.450630024,2.182276688,2.060414249,1.547903168
909749,AZD6482,-0.619378483,2.100556327,1.938708159,1.472362036
908156,AZD6482,0.756067697,1.072493495,0.831100299,0.227482366
906838,AZD6482,4.256461995,1.389860591,1.215815769,0.774248755
1240181,AZD6482,1.975649574,2.323887347,2.140060923,1.781734187
910861,AZD6482,4.041530084,1.332991509,1.110650194,0.710499488
907298,AZD6482,0.040097321,2.201367823,2.027902955,1.37590457
906805,AZD6482,1.89450632,2.413488701,2.299318259,1.957677752
909250,AZD6482,-0.546066205,2.562775047,2.426220578,1.714409812
1240178,AZD6482,3.971521644,2.617535611,2.48729589,1.891044704
908449,AZD6482,2.017429149,2.376876803,2.20999379,1.825197972
907069,AZD6482,1.005682658,2.607660912,2.450814574,1.694876403
1240184,AZD6482,3.225448787,2.123044752,2.081453205,1.420075698
908483,AZD6482,3.709270989,1.881659834,1.737496786,1.337567867
907285,AZD6482,3.920813096,2.661098168,2.484895699,1.914146588
1290797,AZD6482,2.931077116,2.425004467,2.320429777,1.604278712
908473,AZD6482,4.143961661,2.336859214,2.225590805,1.528135297
909730,AZD6482,2.991119951,1.653233862,1.476816557,0.912754362
909736,AZD6482,1.986899863,2.491721671,2.350833142,1.802600582
906844,AZD6482,2.593086047,1.698936624,1.621606599,1.917909168
906696,AZD6482,1.949121773,2.009930904,1.946359209,1.444124424
1240196,AZD6482,1.221310342,2.491671413,2.372104277,1.661831384
1298365,AZD6482,0.534323577,1.9909535,1.841046865,1.607091847
753540,AZD6482,2.371500982,2.618930498,2.469252112,1.850193244
905950,AZD6482,2.628577252,2.426366095,2.337652285,1.460867763
688007,AZD6482,4.221685623,2.466815566,2.257328924,1.752342365
749713,AZD6482,3.266918844,2.696212452,2.548960244,1.629472903
1330950,AZD6482,1.089960887,1.360778373,1.326431957,0.941896442
905947,AZD6482,0.024898379,2.21808564,2.061949593,1.641861401
910932,AZD6482,1.616027509,2.341107153,2.178326415,1.391423815
906693,AZD6482,0.913941904,2.304329989,2.173552759,1.647158662
949174,AZD6482,1.414922631,1.924803035,1.878720563,1.328766488
906849,AZD6482,3.399313504,2.20105424,2.019660676,1.714192126
1303912,AZD6482,2.308535041,3.023412243,2.857548978,1.763919983
909974,AZD6482,0.251401143,2.469421357,2.315479114,1.857389812
909708,Afatinib,-0.888556162,0.253214605,0.398628448,0.126233264
1298222,Afatinib,-0.317847026,0.4656612,0.621031074,0.398502288
909758,Afatinib,0.852094853,0.712828934,0.823082878,0.714044505
1290768,Afatinib,2.08427251,0.335198389,0.471246891,0.569693666
909779,Afatinib,1.378138767,0.973547286,1.079595541,1.234619334
906803,Afatinib,1.555218285,0.415539068,0.54353399,0.283223571
753562,Afatinib,-2.092094736,0.438234665,0.558306319,0.150111614
909716,Afatinib,0.81902074,-0.167036814,0.11044077,0.180070765
753556,Afatinib,-0.669760328,0.346594824,0.48207386,0.40673511
907055,Afatinib,1.130631998,-0.132338053,0.095568343,0.284492274
688011,Afatinib,1.78607378,1.152642231,1.279388962,0.91898063
911905,Afatinib,1.466746381,0.392928487,0.580483003,0.625297239
907172,Afatinib,1.412288149,-0.03261614,0.183295739,0.532936669
907072,Afatinib,1.100634525,0.188625079,0.381766244,0.758815459
909252,Afatinib,0.6985095,-0.897994352,-0.675808134,-0.489262704
753573,Afatinib,-2.743224936,0.784509993,0.860756748,0.606571714
688121,Afatinib,1.908804998,0.189951925,0.354306129,0.308315895
910688,Afatinib,1.248115743,0.466621969,0.469967601,-0.149764736
1524419,Afatinib,-0.200125636,0.842029479,0.98054668,0.603505227
688026,Afatinib,0.763175269,0.52669721,0.711015183,0.547460092
910691,Afatinib,2.178523082,0.242578301,0.503093116,0.70898016
924102,Afatinib,1.754267166,0.723409208,0.840179913,0.485171421
753623,Afatinib,-0.314311065,0.694564965,0.817409495,0.599018993
909735,Afatinib,-0.030741982,0.148762907,0.37483477,0.33135917
907060,Afatinib,1.156222074,0.060262263,0.263614653,0.266851049
753564,Afatinib,1.538711313,0.954578676,1.086588524,0.819640219
907269,Afatinib,2.326406524,0.060182455,0.099413433,-0.170424474
1298355,Afatinib,0.719849399,0.449158956,0.536318532,0.558169007
907320,Afatinib,-2.24045349,0.540715009,0.625227944,0.455129858
910569,Afatinib,1.21992741,-0.298487144,0.03391907,0.076672712
908443,Afatinib,1.450537264,0.265928846,0.588393153,0.452256492
949163,Afatinib,1.582234915,-0.186213505,-0.050270948,-0.074537948
907322,Afatinib,1.704030242,-0.226192405,0.053134278,0.001881516
907071,Afatinib,1.54867323,1.050772325,1.030966036,0.782245174
905986,Afatinib,1.997093882,0.67941359,0.800113713,0.653925197
1240159,Afatinib,1.939312154,0.077121127,0.291176929,0.367771142
1240198,Afatinib,-1.655982435,0.421539446,0.583554158,0.600505897
910944,Afatinib,0.209258041,-1.079066276,-0.936671807,-0.852907604
1240199,Afatinib,2.134984746,1.234548295,1.319381274,0.944141978
905975,Afatinib,1.891317935,0.213454324,0.350750501,0.339546033
910937,Afatinib,1.610581686,1.011791457,1.152899342,0.81433866
1290810,Afatinib,2.449852553,0.49632062,0.637935283,0.701468314
907317,Afatinib,1.820808405,0.088627485,0.248391379,0.15385496
1330982,Afatinib,1.029568002,-0.453756969,-0.351834766,-0.581411656
1240189,Afatinib,1.330198556,-0.215180371,0.12856104,0.322775133
906847,Afatinib,2.317360861,-0.547138588,-0.399500801,-0.275551066
906875,Afatinib,2.187727182,0.043999419,0.227010862,0.102565034
910706,Afatinib,0.856279318,-0.386479683,-0.263824173,-0.252013246
910851,Afatinib,1.767939451,0.726842681,0.925722667,0.689962102
949161,Afatinib,1.972636812,-0.032512946,0.082516397,0.072029343
753554,Afatinib,2.145846906,0.311880392,0.485354201,0.466558521
909706,Afatinib,2.422063374,0.467114009,0.571583271,0.274750146
753546,Afatinib,2.376080933,0.309490886,0.459054633,0.438237047
909749,Afatinib,0.931275433,0.17149508,0.301679041,0.349722377
908156,Afatinib,-0.289728712,-0.715088142,-0.611697065,-0.877975536
906838,Afatinib,1.02285468,-0.318586874,-0.17557553,-0.35112396
1240181,Afatinib,1.6530171,0.565913916,0.684188253,0.676345973
910861,Afatinib,1.704188679,-0.377343793,-0.283314496,-0.420692962
908468,Afatinib,1.250031106,0.547479178,0.726942729,0.680303074
907298,Afatinib,1.255013899,0.317746847,0.438050656,0.268356695
909250,Afatinib,1.467671207,0.630638003,0.753575335,0.602910927
909905,Afatinib,2.071005519,0.621924759,0.705239982,0.608661932
908449,Afatinib,1.209584144,0.374200112,0.506372351,0.720552227
907069,Afatinib,1.230933274,0.604862679,0.735900531,0.562538611
908483,Afatinib,1.574669238,0.169326993,0.373290583,0.231936543
907285,Afatinib,1.183566026,0.688211333,0.789273184,0.765687341
1290797,Afatinib,0.696175305,0.46044112,0.624143742,0.472799183
908473,Afatinib,-2.747181564,0.361966096,0.525947912,0.401551924
1503367,Afatinib,2.132014968,0.276591654,0.397837367,0.712577154
909730,Afatinib,1.227302732,-0.146370541,0.019055731,-0.207381029
909736,Afatinib,2.168395372,0.513004809,0.659609511,0.687377682
906844,Afatinib,1.143398477,-0.032874257,0.23717937,0.797028876
906696,Afatinib,1.236474275,0.056416608,0.279546744,0.318303147
1240196,Afatinib,0.447265946,0.487855226,0.648688634,0.524872675
1298365,Afatinib,-1.411570727,0.061911092,0.192561179,0.495288836
753540,Afatinib,-0.036383704,0.665160763,0.769381388,0.703583219
905950,Afatinib,-1.798584631,0.5009436,0.670710393,0.353658207
688007,Afatinib,2.342258852,0.757060882,0.91135913,0.642620778
1330950,Afatinib,1.478000338,-0.337942955,-0.01854511,-0.16697506
946377,Afatinib,1.470357265,0.43777414,0.544209965,0.341007243
910932,Afatinib,1.567786413,0.468493765,0.5789285,0.289034095
906693,Afatinib,1.688895177,0.295064073,0.433989477,0.527176427
1303912,Afatinib,2.054814206,0.976402155,1.058795101,0.650533655
909974,Afatinib,1.873359249,0.521549912,0.656949729,0.741690692
909758,BMS-536924,0.267639746,3.206190525,3.206698261,2.412740532
906803,BMS-536924,0.747924132,2.841513498,2.801538306,1.94323647
907172,BMS-536924,1.329633589,2.400101703,2.42698766,2.197712759
909252,BMS-536924,2.128896561,1.430735731,1.445802115,1.195439965
688121,BMS-536924,2.542992827,2.591809317,2.624317024,1.954200236
910688,BMS-536924,2.363726507,2.787530922,2.694368978,1.486647926
688026,BMS-536924,3.127737176,2.799175109,2.806853351,2.183119771
910691,BMS-536924,4.572134291,2.507614533,2.573794033,2.350622703
753623,BMS-536924,-0.646780152,3.154455844,3.15845323,2.302875239
753564,BMS-536924,3.193013348,3.241974667,3.204388515,2.448463658
907269,BMS-536924,2.164117563,2.395127949,2.313865853,1.489404269
910569,BMS-536924,-0.855227197,1.966699223,2.086171174,1.738548367
949163,BMS-536924,-1.608676612,2.194137627,2.133797686,1.584073456
907322,BMS-536924,2.153723338,2.033825785,2.147194189,1.660436104
905986,BMS-536924,1.184366826,3.180314194,3.181546419,2.323062736
910944,BMS-536924,-0.92542047,1.287611885,1.22188893,0.821013834
